"","participant_id","comments","condition"
"1","p001","i tried to memorise what my partner had used for previous questions and then used them again and then tried to remember what went with which until we were both using the same icons for the same shapes","fixed_associations"
"2","p002","That was really interesting - and fun! It was great to see how quickly we established associations and patterns but also to see how these sometimes got mixed up. And to see whose choice of image became the agreed one. (Hope that makes sense!)","random_associations"
"3","p003","through trial and error if one of the shapes matched it was assumed that shape would always go together ","fixed_associations"
"4","p004","The labels were used according to the shapes in the images themselves.","fixed_associations"
"5","p005","It began fairly easily but it lost me entirely in the final sections as I just couldn't figure out the correlations for a while.","fixed_associations"
"6","p006","First section was fine. Completely lost as to the logic behind the following sections.","random_associations"
"7","p007","for the options that didnt show a colour i just chose the same shape. The options that were completely different I just chose the image that was directly beneath it.","random_associations"
"8","p008","I figured that I had to know what colour represented which shape. Then I had to choose which colour for each image so pink pig yellow banana etc. Then for the last section I picked which colour I felt represented each emotion grey-sad yellow-happy red-anger and pink-love.","fixed_associations"
"9","p009",NA,"fixed_associations"
"10","p010","Red = cross volcano and anger","random_associations"
"11","p011",NA,"fixed_associations"
"12","p012","the hardest were the coloured shapes couldnt seem to figure a pattern but palm tree looked like pentagon etc seemed to be when figured out a pattern wnet ok","fixed_associations"
"13","p013","I took seriously your instruction not to make notes - VERY frustrating as that's my usual memory method!  Took me a while to work out after the first pauses how to classify the splodges then in the absence of written notes - I chanted the relationships instead as if I can't write things down then I remember them by speaking.  I worked out it was a sort of logic problem and by a process of elimination established which shape/colour/photo related to which.  I presume there was no human partner as I was working out what felt preset.  Very engaging study though - fun and involving - thank you!","fixed_associations"
"14","p014","When figuring out the labels i looked at the pictures and tried to decide what was appropriate. In the last section one of the pictures was a girl with the sun behind her so i thought star was a good idea. Another picture was a couple kissing so thought diamond would be a good idea. I suppose word association was what i tried to achieve.","random_associations"
"15","p015","initially i found it easy then when it was the splat image section i found that quite difficult the following sections i just worked out what image each shape represented ie the square was the image of the buildings the cross was the banana and so on","fixed_associations"
"16","p016",NA,"fixed_associations"
"17","p017","in the first part i noticed the colours correpsonded to certain shapes so i memorised which was which.  for the objects i guessed based on the other persons response as to which they were labelling each item and the same with the emotions it was based on which answer they put to the shape shown which i them took on board and used to figure the labels out","fixed_associations"
"18","p018","just by mistakes at the end working out who was right and who was wrong till got the matches was great fun thanks!","random_associations"
"19","p019","I found it difficult when we disagreed as it left you two choices stick with what you picked or change to what they picked thet also had the same decision so it was hard without being able to communicate","random_associations"
"20","p020","i found the physical photos easer to match with partner. i did not take any notes","random_associations"
"21","p021","Myself and my partner were doing very well with associating the colours to shapes and objects but we definitely struggled when it came to assigning them to the photos of people. Overall we communicated very well and understood each other well. My partner was very smart :)","fixed_associations"
"22","p022",NA,"fixed_associations"
"23","p023","It was slightly confusing towards the middle when the shapes didn't correlate but by the end we seemed to understand the labels on the emotions for example picking the x for kiss and star for happy.","fixed_associations"
"24","p024","The second round of questions was difficult to be on the same wavelength I went more for a strategy of the stronger the colour the more sides the shape had.  So a plain old square for grey tended to work most successfully.  As for the third round that was simple enough the banana = yellow = star the buildings = sturdy = square the potion = danger = first aid (plus) sign the pig = fenced in = hexagon.  The final round was tricky again.  Only thing that really landed successfully in terms of strategy was assigning the hexagon to the crazy man again for the same reason as the pig in the previous round in that I felt he needed to be fenced in for his own protection.  As for the others it was hit and miss and my logic was constantly changing.","fixed_associations"
"25","p025","i tried to figure out which pattern the other player would use and repeated it","random_associations"
"26","p026","I remembered the colours from early on then I just attributed the colour to the shape or emotion.","fixed_associations"
"27","p027",NA,"fixed_associations"
"28","p028","I tried to remember the symbols they used for each picture and watch for repetition","random_associations"
"29","p029","If I received first I was trying to learn which shapes or colours my partner associated with which images. The choices were often dictated by who sent first when there was a new set of images. It was interesting to note that when we made different choices we often then swapped to accomodate each other.","random_associations"
"30","p030","I just established a baseline depending on the first answers given. Of course the bot didn't follow the same method so it was worthless.","random_associations"
"31","p031","Trial and error was the only technique I used - a case of does the partner switch to me line of thinking or do I switch to theirs?","fixed_associations"
"32","p032","I did not take notes I hoped my partner would understand my logic","fixed_associations"
"33","p033","For the images of real people I felt x had to be cross/angry but I feel I got lucky with the others on first guess. For the black and white/cartoon style images I think the first I got was volcano which I mentally paired with X because if looked at from above it would explode in a X shape. I then applied the same view from above logic to the others e.g. haxagon = pig pen (pig) circle = banana viewed from above etc.","random_associations"
"34","p034",NA,"fixed_associations"
"35","p035",NA,"random_associations"
"36","p036","The colour one was hard. I was trying to use the colours I remembered from the previous section but I think I may have been wrong... and then I just tried to stubbornly stick to my guns - one of us had to cave eventually right? The other sections were easier. Banana is obviously round. Buildings are square. So on. And then I was stubborn until my partner gave in.","random_associations"
"37","p037","I kind of checked what the sender was sending to me and tried to work out a pattern.","fixed_associations"
"38","p038",NA,"fixed_associations"
"39","p039","Circle = pink + romance","random_associations"
"40","p040","I picked the colours to shapes on intuition to begin with but then we tried to establish a pattern","random_associations"
"41","p041","I think it was all computer generated and random and there wasn't a partner","random_associations"
"42","p042","I used colours at the first change then I also used different shapes for pictures for instance I used the star to denote the smiling face and tried to also note which shapes my partner was using at the changes in pictures.","fixed_associations"
"43","p043","the first set set the colours the second set used the colours the third set was items in those colours the forth set were emotions associated with the colours","fixed_associations"
"44","p044",NA,"fixed_associations"
"45","p045","When I made a mistake I remembered what my partner had chosen and used that the next time the symbol appeared.","fixed_associations"
"46","p046","Interesting experiment ","random_associations"
"47","p047",NA,"random_associations"
"48","p048","Just tried to look for any that we both got first time and stuck with those and then tried to do the same method again but sometimes just guessed","random_associations"
"49","p049",NA,"fixed_associations"
"50","p050","I tried to remember what symbols my partner had used to 'name' things then used those back to them at the first opportunity to show that I understood. Some were easier (a 'cross' shape equated to a cross person) but I found it harder to use shapes to signify colours","random_associations"
"51","p051","First thank you for this entertaining study. I really enjoyed it. The way I think it worked we suggested to each other the standard answer based on shapes and colors. Star is yellow etc. Then it turned into the partner helping me on which answers we were going to use. I thought the picture was a volcano but it could've been a glassed flask. If I saw my partner pick the same combo again after we were wrong I just agreed to it in order to be correct. A few objects had some easy correlation which made it easy to remember. The girl crying was the blue color because blue means upset. The star was yellow and the sun is a star. I thought the couple kissing should have been the diamond/pink because diamonds come from people in love upon engagement but my partner said star/yellow because of the sun. However the sun was in 2 photos but we eventually got on the same page. ","random_associations"
"52","p052","I made little pictures or sayings in my head - in the last experiment I saw a sad bishop as the shape associated with the sad lady looked like a Bishop's mitre angry man was a circle as his mouth was open (like a circle shape) - before that star was yellow which is like gold and gold shines like a star.","random_associations"
"53","p053","I found it incredibly interesting. i tried to memorize what shape they were picking for the emotions or objects. I didnt fully understand in round 2 but by round 3 and 4 i was enjoying it","fixed_associations"
"54","p054","I didn't use a particular method for the later part of the task as I couldn't seem to figure out a system so was going with instinct only.","random_associations"
"55","p055","It was a little long but very engaging.","random_associations"
"56","p056","I guessed all the more difficult ones.","random_associations"
"57","p057",NA,"random_associations"
"58","p058","I was trying to chant things in my head such as cross shape meant an angry face as in cross & angry went together","fixed_associations"
"59","p059","I really enjoyed the experiment and I feel my partner connected well with what I was thinking. My partner and I both choose colours rather than the shapes in one of the experiments and I felt I knew my partner would choose the same. Really fun experiment thank you!","fixed_associations"
"60","p060",NA,"random_associations"
"61","p061","looks for colours then emotions","random_associations"
"62","p062","Initially I found this task quite relaxing until of course the symbols did not match. Later some objects looked right even if they were not. The last one will people pics was more hard but again some links were made. ","random_associations"
"63","p063","communicating the shapes from different shapes and colours was the most difficult","fixed_associations"
"64","p064","It got confusing at some point with different colours and shapes but the rest was very straightforward.","fixed_associations"
"65","p065",NA,"fixed_associations"
"66","p066",NA,"random_associations"
"67","p067","the first few rounds were not too bad as long as you remembered the colour of the shapes. The last one was more difficult because it was unclear at the beginning if the colour/ shape should be associated withe mood of the picture So easy to remember the smiling girl is the sun but for me the couple should have been red for passion rather than the cross and the angry man should have been the cross. Once you sorted out that the association was your interpretation and not the system being used it was really just memory.","fixed_associations"
"68","p068","I figured out which labels to use by pattern recognition. This worked well for the pictures of people (couple in love angry man crying woman) and for the pictures of building pig volcano etc. It did not work well for the colour sections (both paint splats and solid colours). I found those sections confusing to be honest. I did not make notes I just tried to remember the patterns. ","random_associations"
"69","p069","I really didn't see much of a pattern especially when it changed colours. A few of them I just guessed to be honest!","fixed_associations"
"70","p070","We hit our stride when the images had no relation to the shapes or colours. I think it was very lucky that we both picked the correct images at the beginning of the fourth round because it made it much easier to assign labels to the subsequent images. The opposite happened in the final round where we both picked the wrong images but we created our labels based on those mistakes. ","fixed_associations"
"71","p071","I did not take notes at all.   With the weird shaped shapes I simply always sent the one on the far right and always selected the one on the far left.  With the photographs I used the cross for the cross looking man and assigned the other shapes to the other photos and hoped my partner would work out what I was doing which most of the time they did. ","random_associations"
"72","p072","lots of errors to work out what was what. Trying to remember the corelating shape of figure when it was correct. ","fixed_associations"
"73","p073","I think what I did was insist on my choices in the hopes that I would be dominant and my partner would go along with what I decided. To make those decisions in the first place I would do some simple associations - eg yellow for star and star for the sun (in the final pictures).","fixed_associations"
"74","p074","I tried to mentally assign each picture or colour a symbol but I am not sure if the other person was catching on. ","random_associations"
"75","p075","IN ALL HONESTY I FOUND THE LAST SECTION THE EASIEST AND AM GUESSING MY PARTNER DID TOO BECAUSE I DONT THINK WE MADE ANY MISTAKES.  I STRUGGLED WITH THE SPLATS AND EVERY TIME I THOUGHT I HAD THE SHAPES FIGURED OUT I FOUND OUT THAT ACTUALLY I DIDNT GET THE LINK AT ALL. I REALLY ENJOYED THIS STUDY VERY MUCH.  ITS ONE OF THE NICEST ONES I HAVE DONE IN QUITE SOME TIME.  I MAY NOT HAVE DONE THAT WELL BUT I THOROUGHLY ENJOYED THE PROCESS OF TRYING TO WORK OUT WHAT THE PATTERN WAS.  THANK YOU FOR ALLOWING ME TO TAKE PART.  X","random_associations"
"76","p076","I just noticed the labels and remembered them if we both got it right. It was a case of syncing both our labels on the same objects / shape.","random_associations"
"77","p077","I found the coloured shapes and splats really distracting. It was easier to work out a pattern with the stock photos towards the end I think my partner noticed more of a pattern in our responses too. ","random_associations"
"78","p078","No idea when the colours were being used for the shapes I thought we had a system then it didn't make sense.","fixed_associations"
"79","p079","focused on the colours and what feelings they represented","fixed_associations"
"80","p080",NA,"random_associations"
"81","p081","That was fun. The colour and shapes one took a minute to get used to once it changed. I like how we decided which shape belonged to each picture eg. pig = circle building = square volcano = diamond and then again the same with the photos we decided that red was the angry guy grey was the sad women etc.","fixed_associations"
"82","p082","When the shapes changed I guessed if my partner started first and we then learned what each were associated with each shape/colour","random_associations"
"83","p083",NA,"random_associations"
"84","p084","I found the middle section with the different shapes and colours really difficult to work out.  Once the experiment moved on to the pictures (pig city etc) and the people (final section) it was much easier to spot a pattern and start associating a picture with the corresponding shape.","random_associations"
"85","p085",NA,"random_associations"
"86","p086","all my options were thought processed I determined the angry man as being a red cross even though the cross was colourless and the couple who were in love as being a bright star! Even though it appeared I had a rapport with the receiver if they got it 'wrong' I still stuck to my choice of female as we had previously got right in the hope that they were not actually changing their mind in the choice but could not remember the symbol as they were very similar. When being the receiver with the colours and the green edge picture did not actually match this threw me for a while as I could not ascertain how to match the colour to the picture but I feel I soon settled and hope you are happy with my results I found this very interesting thank you","fixed_associations"
"87","p087","Once we had established the shapes and colours link it wasn't too hard to assign colours to the cartoons. FOr the emotions I coloured the emotion - ie rage red grief grey love pink and therefore by default happiness yellow. I think my partner may have gone by the colours in the pictures at the end but I decided to stick to my system and they picked it up quite quickly.","random_associations"
"88","p088",NA,"fixed_associations"
"89","p089","It was purely guess work and instinct.  I should have acted on instinct more as I would have had more correct answers. Interesting survey but would have liked to know what the system was for choosing.","random_associations"
"90","p090",NA,"fixed_associations"
"91","p091","I didn't take any notes but I assigned colours to certain shapes then colours to certain icons such as pink for the pig. In the photos of the people I assigned the star to the couple and then went from there","random_associations"
"92","p092","I tried to allocate the colours to the image or the emotion portrayed in the image and link this to the original colour of the shapes.","fixed_associations"
"93","p093","in the pictures we used the shapes to label which one is which one ","fixed_associations"
"94","p094","I was looking for a pattern in how my partner used certain labels to communicate emotions","fixed_associations"
"95","p095","The closest I got was on the last section. The start was the sun and the circle was the angry man","random_associations"
"96","p096","I tried to make associations in my mind before selecting and then I tried to retain the sender's choices too. Interesting thank you.","fixed_associations"
"97","p097","i felt our collaboration definitely got better at the end - i understood their correlation between shapes and emotions/colours and they did for me. i think apart from the easy 1 for 1 (square is square) questions the matching shapes between facial expressions was the easiest. this is because i could associate the shapes and corners with emotion which i think is a more universal expression than colours","random_associations"
"98","p098","as there seemed to be nothing to link the communication images with the viewed images I decided to make arbitrary associations between them for instance a star represented a volcano because it is an explosion and the cross represented the loving couple because they are together I then hoped that the frequency of the occurrence would help communicate the connection to the receiver. I had hoped that the other participant would do the same but it seemed to be much more random than what I was trying to do.","random_associations"
"99","p099",NA,"fixed_associations"
"100","p100","This was very interesting! The first part was easy and simple it become much hard and more interesting as we went by. ","random_associations"
"101","p101",NA,"random_associations"
"102","p102","I thought it was interesting that after a certain number of failed attempts a rhythm seemed to emerge and I also noticed that my mind seemed to make up little lines to remember the pics - like sunrise in the back ground became circle sunrise - guy looking angry became pointed anger as the was a point at the top of the shape and the couple became plus 2 for the + sign","random_associations"
"103","p103","For the objects and photographs I just tried to use the shape i thought best represented the shape of the object or the people in the photographs - obviously the cross was obvious for the emotion photo! The colours were the hardest to assign a shape to as I did not notice in the previous part of the experiment if some shaped were featured more often with certain colours. I just assigned random colours to the shapes and my partner quickly picked them up.","random_associations"
"104","p104","I associated shapes with colours- and then likewise the colours matched the pictures/emotions in the faces.","random_associations"
"105","p105","Just trial and error really and allowing each other to make decisions and following their lead. The colour one was the hardest and the objects was the easiest","random_associations"
"106","p106",NA,"random_associations"
"107","p107",NA,"fixed_associations"
"108","p108",NA,"random_associations"
"109","p109","After making some mistakes I tend to know what shapes and colours to select.","fixed_associations"
"110","p110","My partner and I seemed to get into a rhythm within the first few shapes/pictures/colours etc. It was as if the first few times we were showing each other what we had chosen to correspond with a shape and then we got into the flow of it! I found it fascinating that I was able to establish a set of rules quickly with someone I couldn't see or talk to!","random_associations"
"111","p111","tried to associate the shapes with a particular picture ","random_associations"
"112","p112","I chose yellow cross for the one with the couple because the sun was very prevalent in that picture originally i was going to do red square for the angry man picture but then the other person did purple star and i realised that i should probably do a purple star too because the colour was very similar to the background on the angry man. The upset girl we chose pink because the colour of her shirt was very similar to the pink hexagon and i guess that we chose red square for the girl in the sun on her own because she was the only colour left.","fixed_associations"
"113","p113",NA,"fixed_associations"
