"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
9,"p001","director",1,9,68,1137829,"p093","cross_grey","cross","","",NA,2341.09999999963,"fixed_associations","p001-p093","grey",NA
11,"p001","director",1,11,75,1155881,"p093","circle_red","cross","","",NA,1376.70000000112,"fixed_associations","p001-p093","red",NA
13,"p001","director",1,13,82,1174115,"p093","hexagon_yellow","hexagon","","",NA,1674,"fixed_associations","p001-p093","yellow",NA
15,"p001","director",1,15,89,1190570,"p093","star_pink","star","","",NA,3896.90000000037,"fixed_associations","p001-p093","pink",NA
17,"p001","director",1,17,96,1205520,"p093","star_pink","star","","",NA,1139.80000000075,"fixed_associations","p001-p093","pink",NA
19,"p001","director",1,19,103,1219074,"p093","cross_grey","cross","","",NA,1445.5,"fixed_associations","p001-p093","grey",NA
21,"p001","director",1,21,110,1234430,"p093","hexagon_yellow","hexagon","","",NA,1533,"fixed_associations","p001-p093","yellow",NA
23,"p001","director",1,23,117,1261798,"p093","circle_red","circle","","",NA,1132.69999999925,"fixed_associations","p001-p093","red",NA
25,"p001","director",1,25,124,1276110,"p093","circle_red","circle","","",NA,1610.80000000075,"fixed_associations","p001-p093","red",NA
27,"p001","director",1,27,131,1292886,"p093","hexagon_yellow","hexagon","","",NA,971.700000001118,"fixed_associations","p001-p093","yellow",NA
29,"p001","director",1,29,138,1307056,"p093","star_pink","star","","",NA,1036.30000000075,"fixed_associations","p001-p093","pink",NA
31,"p001","director",1,31,145,1322392,"p093","cross_grey","star","","",NA,3452.70000000112,"fixed_associations","p001-p093","grey",NA
33,"p001","director",1,33,152,1336438,"p093","cross_grey","star","","",NA,1831.30000000075,"fixed_associations","p001-p093","grey",NA
35,"p001","director",1,35,159,1349992,"p093","circle_red","circle","","",NA,1482.09999999963,"fixed_associations","p001-p093","red",NA
37,"p001","director",1,37,166,1365648,"p093","hexagon_yellow","hexagon","","",NA,2712.90000000037,"fixed_associations","p001-p093","yellow",NA
39,"p001","director",1,39,173,1379062,"p093","star_pink","star","","",NA,1015.40000000037,"fixed_associations","p001-p093","pink",NA
41,"p001","director",1,41,180,1391758,"p093","hexagon_yellow","hexagon","","",NA,1177.29999999888,"fixed_associations","p001-p093","yellow",NA
43,"p001","director",1,43,187,1406434,"p093","circle_red","circle","","",NA,1322.20000000112,"fixed_associations","p001-p093","red",NA
45,"p001","director",1,45,194,1422189,"p093","star_pink","star","","",NA,3334.40000000037,"fixed_associations","p001-p093","pink",NA
47,"p001","director",1,47,201,1436648,"p093","cross_grey","cross","","",NA,2943.69999999925,"fixed_associations","p001-p093","grey",NA
49,"p001","director",1,49,208,1449483,"p093","hexagon_yellow","hexagon","","",NA,948.799999998882,"fixed_associations","p001-p093","yellow",NA
51,"p001","director",1,51,215,1472089,"p093","circle_red","circle","","",NA,2154.40000000037,"fixed_associations","p001-p093","red",NA
53,"p001","director",1,53,222,1489293,"p093","cross_grey","cross","","",NA,1016.80000000075,"fixed_associations","p001-p093","grey",NA
55,"p001","director",1,55,229,1503019,"p093","star_pink","star","","",NA,1055,"fixed_associations","p001-p093","pink",NA
57,"p001","director",1,57,236,1518963,"p093","cross_grey","cross","","",NA,2410.10000000149,"fixed_associations","p001-p093","grey",NA
59,"p001","director",1,59,243,1533569,"p093","star_pink","star","","",NA,1297.19999999925,"fixed_associations","p001-p093","pink",NA
61,"p001","director",1,61,250,1548571,"p093","hexagon_yellow","hexagon","","",NA,2410.30000000075,"fixed_associations","p001-p093","yellow",NA
63,"p001","director",1,63,257,1562773,"p093","circle_red","circle","","",NA,1096.09999999963,"fixed_associations","p001-p093","red",NA
65,"p001","director",1,65,264,1577339,"p093","hexagon_yellow","hexagon","","",NA,1261.19999999925,"fixed_associations","p001-p093","yellow",NA
67,"p001","director",1,67,271,1598499,"p093","cross_grey","cross","","",NA,3296.5,"fixed_associations","p001-p093","grey",NA
69,"p001","director",1,69,278,1614716,"p093","circle_red","circle","","",NA,4509.5,"fixed_associations","p001-p093","red",NA
71,"p001","director",1,71,285,1638172,"p093","star_pink","star","","",NA,5537.70000000112,"fixed_associations","p001-p093","pink",NA
73,"p001","director",2,73,294,1674478,"p093","splat_yellow","circle","","",NA,14616.8000000007,"fixed_associations","p001-p093","yellow",0
75,"p001","director",2,75,301,1715382,"p093","splat_grey","circle","","",NA,3605.80000000075,"fixed_associations","p001-p093","grey",0
77,"p001","director",2,77,308,1747602,"p093","splat_red","cross","","",NA,2942.40000000037,"fixed_associations","p001-p093","red",0
79,"p001","director",2,79,315,1782787,"p093","splat_pink","circle","","",NA,2267.19999999925,"fixed_associations","p001-p093","pink",0
81,"p001","director",2,81,322,1802383,"p093","splat_grey","star","","",NA,1503.90000000037,"fixed_associations","p001-p093","grey",0
83,"p001","director",2,83,329,1826619,"p093","splat_pink","hexagon","","",NA,3026.60000000149,"fixed_associations","p001-p093","pink",0
85,"p001","director",2,85,336,1855325,"p093","splat_yellow","circle","","",NA,6031.09999999963,"fixed_associations","p001-p093","yellow",0
87,"p001","director",2,87,343,1875683,"p093","splat_red","hexagon","","",NA,4956.40000000037,"fixed_associations","p001-p093","red",0
89,"p001","director",2,89,350,1896940,"p093","splat_pink","hexagon","","",NA,7456.30000000075,"fixed_associations","p001-p093","pink",0
91,"p001","director",2,91,357,1911941,"p093","splat_red","hexagon","","",NA,2500.79999999888,"fixed_associations","p001-p093","red",0
93,"p001","director",2,93,364,1929495,"p093","splat_grey","cross","","",NA,2194,"fixed_associations","p001-p093","grey",1
95,"p001","director",2,95,371,1948475,"p093","splat_yellow","circle","","",NA,4239.10000000149,"fixed_associations","p001-p093","yellow",0
97,"p001","director",2,97,378,1987838,"p093","splat_pink","hexagon","","",NA,5226.69999999925,"fixed_associations","p001-p093","pink",0
99,"p001","director",2,99,385,2005947,"p093","splat_yellow","circle","","",NA,2570.5,"fixed_associations","p001-p093","yellow",0
101,"p001","director",2,101,392,2026480,"p093","splat_grey","star","","",NA,5099.29999999888,"fixed_associations","p001-p093","grey",0
103,"p001","director",2,103,399,2046036,"p093","splat_red","cross","","",NA,6591.09999999963,"fixed_associations","p001-p093","red",0
105,"p001","director",3,105,406,2065508,"p093","hexagon_pink","hexagon","","",NA,3614.19999999925,"fixed_associations","p001-p093","pink",1
107,"p001","director",3,107,413,2086900,"p093","star_grey","star","","",NA,1801.5,"fixed_associations","p001-p093","grey",1
109,"p001","director",3,109,420,2114754,"p093","hexagon_red","hexagon","","",NA,6831.69999999925,"fixed_associations","p001-p093","red",0
111,"p001","director",3,111,427,2135112,"p093","cross_yellow","cross","","",NA,3612.89999999851,"fixed_associations","p001-p093","yellow",0
113,"p001","director",3,113,434,2158145,"p093","star_yellow","star","","",NA,7578,"fixed_associations","p001-p093","yellow",0
115,"p001","director",3,115,441,2172849,"p093","circle_grey","circle","","",NA,1650.20000000112,"fixed_associations","p001-p093","grey",0
117,"p001","director",3,117,448,2197502,"p093","hexagon_red","hexagon","","",NA,1619.59999999963,"fixed_associations","p001-p093","red",0
