"","participant_id","comments","condition","block3_condition"
"1","p001",NA,"fixed_associations","objects"
"2","p002","I tried to memorise letters at the beginning of the words and link them to ideas connecting to concepts of the image i.e. diamond = D = Dreadfully scary volcano.","random_associations","objects"
"3","p003","I soon figured out the colours on second part and then on last few I linked colours to objects as buildings are grey(square) pigs are pink(circle) bananas are yellow(hexagon)volcano red etc","random_associations","objects"
"4","p004",NA,"fixed_associations","objects"
"5","p005","I tried to remember what the other person had used to refer to a symbol and tried to reuse that choice on my go so we would sync up eventually. ","fixed_associations","objects"
"6","p006","Whenever there was a change in the game it was initial guesswork until I saw the pattern then I labelled each image mentally to attach it to the shape. My mind slipped a few times though I found myself thinking about other things.","fixed_associations","emotions"
"7","p007","I didn't take notes I just worked out pretty quick that:","fixed_associations","emotions"
"8","p008",NA,"fixed_associations","objects"
"9","p009","I thought each shape had an allocated colour.","fixed_associations","coloured_shapes"
"10","p010","I feel like I should have taken notes my short term memory is not very good! I think my partner did much better than me","random_associations","coloured_shapes"
"11","p011",NA,"random_associations","objects"
"12","p012","i found it very interesting to be honest i based all my decisions based on what i learned from memory.  thank you for the invite.","fixed_associations","objects"
"13","p013",NA,"fixed_associations","emotions"
"14","p014","very good ","random_associations","objects"
"15","p015","On the last part crosses always seemed to be grey pents red and the other two shapes seemed to alternate between yellow and pink (but I didn't have it totally straight how).","random_associations","coloured_shapes"
"16","p016","It took me a while after the break to realise what was going on and work out the system.","random_associations","emotions"
"17","p017","I didn't make notes but felt me and my partner were on the same wave length firstly putting colours to the shapes then the objects to the colours of the shapes - it worked really well and I enjoyed this study thank you!","random_associations","objects"
"18","p018","I don't know wha tnotes I would have taken!! I didn't figure out any patterns in the second part. btw chrome did want me to access the page as it said it was insecure but I tried again and got in.","fixed_associations","emotions"
"19","p019","Once we switched to there being multiple colours of the same shape I realised we needed to use the shape for the colour in the previous part of the experiment ","random_associations","coloured_shapes"
"20","p020","I went by colours of previous shapes","fixed_associations","coloured_shapes"
"21","p021","I tried to see a pattern between label sent and response received in the later rounds however the responses appeared to be random.","random_associations","emotions"
"22","p022","A very interesting task. The 1st part was easy & we got all right I think. The 2nd part with colours seemed to confuse us both a little & we didn't do so well. The 3rd picture task we pretty quickly both remembered which we had assigned to which picture. I imagined the couple as a circle for example and the angry man as the spiky + shape. ","random_associations","emotions"
"23","p023","I think we both agreed that circles and stars represented love and companionship (assuming that the other person was real) whereas the other shapes were symbols of anxiety and anger. ","fixed_associations","emotions"
"24","p024","I put a colour to what I felt represented a feeling the best. Grey/pentagon/anger. Yellow/star/happy. Red/square/anger. Pink/diamond/love.","random_associations","emotions"
"25","p025",NA,"fixed_associations","coloured_shapes"
"26","p026",NA,"fixed_associations","emotions"
"27","p027","I promise you I did not take notes.  When the images changed at first I had to select one at random to get a clue from whether my response was right or wrong.  Figuring out happy meant yellow meant pentagon was the hardest.  I guess grey goes with depression so crying so cross shape.  The rest just kind of fell into place.","fixed_associations","emotions"
"28","p028","its fun","fixed_associations","objects"
"29","p029","Most of it was easy apart from the last round where it took a while to marry up the shapes with the images","random_associations","objects"
"30","p030","I immediately assoctiated the star and cross with the colours in the first half of the experiment. the other 2 shapes were similar in my head and so i struggled a bit more with associating those with the colours to communicate them with. i think i tend to connect shapes and colours well","fixed_associations","coloured_shapes"
"31","p031",NA,"fixed_associations","emotions"
"32","p032","At one point I was either thinking that the partner I got teamed up with was not trying or I was up against a random computer because they did not seem to go with any rhythm or thought when it came to putting colours to shapes. ","random_associations","coloured_shapes"
"33","p033","The shapes at the start were easy because I just picked the same one. Then the colours of the shapes in the first round were used in the second round. But for the pictures of people I had no idea to begin with so it was just a case of trial and error and I used something to help me remember them for example the couple kissing had the sun behind them and that matched with the star and the sun is a big star so I just remembered it like that.","random_associations","emotions"
"34","p034","I think my partner made far more mistakes than me!","fixed_associations","objects"
"35","p035","In the final part I learned that a grey shape corresponded to a circle.","random_associations","coloured_shapes"
"36","p036","I really enjoyed doing this it was a great brain training exercise.","fixed_associations","coloured_shapes"
"37","p037","I just tries to remember a colour per shape initially i was using yellow star red cross grey circle and pink pentagon","random_associations","coloured_shapes"
"38","p038","Obviously the shapes had colours but we or at least I forgot which colour was assigned to each shape so we made our own colour for each shape. For example the one I remember originally being coloured was the plus sign being grey well we assigned it to pink in our task.","random_associations","coloured_shapes"
"39","p039","I didn't take notes.  In the first half I just sent the shape in the next part I sent the colors.","fixed_associations","coloured_shapes"
"40","p040","I just saw how the shapes were different colors so then when the colors came up those are the shapes that I sent to try to communicate the color. Then I correlated the color of the different things to the icons and hoped that my partner would make the same connections with the colors and shapes.","fixed_associations","objects"
"41","p041","I didn't realise there was a code for the colours until the very end.  It was easier somehow to establish a (or the) code for the volcano etc.  ","random_associations","objects"
"42","p042","Shapes/colours/objects felt pretty straightforward and we both got them quickly.  The emotions had some hiccups at the start but we soon got into the flow. My own thoughts of red=angry sad=grey were picked up on.","fixed_associations","emotions"
"43","p043",NA,"random_associations","objects"
"44","p044",NA,"random_associations","objects"
"45","p045",NA,"random_associations","emotions"
"46","p047",NA,"random_associations","emotions"
"47","p048","I tried to work out which colour could be associated with which shape and then hoped the other participant would make the connection. Although I felt like I should take notes I didn't.","fixed_associations","coloured_shapes"
"48","p049",NA,"random_associations","objects"
"49","p050","An interesting game of logic first to work out which colours were associated with which shape and then to apply that colour/shape logic to the objects in the last section.","random_associations","objects"
"50","p051","It got tricky with the blobs and colours I tried to think square was grey star is yellow and so on sometimes it worked sometimes it did not quite confusing )) ... Thanks for the invite ","random_associations","coloured_shapes"
"51","p052","this was fun to do trying to decipher the other person's thoughts.","fixed_associations","objects"
"52","p053",NA,"fixed_associations","emotions"
"53","p054","I didn't have any kind of strategy. I tried to communicate what I wanted to assign each thing to with the other person by picking.","fixed_associations","emotions"
"54","p055","Just associated the colours with the shapes","fixed_associations","coloured_shapes"
"55","p056",NA,"fixed_associations","emotions"
"56","p057","At first I just used the same shape regardless of color and then I used the same color and lastly used the shape that corresponds to a certain color (example: diamond=yellow circle=dark red etc)","fixed_associations","coloured_shapes"
"57","p058","it was easy to notice that the colours corresponded to the shapes. And then the colours connected to the general colour themes for emotions yellow happy red angry pink love/romantic grey sad. ","fixed_associations","emotions"
"58","p059","THANKS","random_associations","objects"
"59","p060",NA,"random_associations","emotions"
"60","p061",NA,"random_associations","coloured_shapes"
"61","p062",NA,"fixed_associations","coloured_shapes"
"62","p063","i remembered the colours from the shape bit at the start so that was easy with the other shapes it was a bit of trial and error to get to know which shape was each picture","random_associations","objects"
"63","p064","I tried my best to follow the patterns of my partner and hope our selections aligned at some point.","random_associations","objects"
"64","p065",NA,"random_associations","objects"
"65","p066","I had to observe and see which images my partner was communicating as certain shapes and choose them again if possible or until there was an agreement on which one was which.","random_associations","emotions"
"66","p067",NA,"random_associations","emotions"
"67","p068","I only took mental notes when I was playing (I didn't write anything down); I probably would have been more accurate if I'd written things down on paper.","random_associations","emotions"
"68","p069","we managed to keep copying each other to create some kind of a system","random_associations","emotions"
"69","p070","I started to realise that if the 'partner' chose a certain colour after a certain image they were linking those together so I remembered that in my head eg a yellow square and a grey circle.","random_associations","objects"
"70","p071","I tried to link shapes to people so for example I decided the couple picture should be the plus sign and the smily girl would be the star to try and be consistent.","random_associations","emotions"
"71","p072","I tried to match shapes to colours but that didn't always work e.g. hexagon was usually grey but not always; star was yellow.","fixed_associations","coloured_shapes"
"72","p073",NA,"random_associations","objects"
"73","p074",NA,"fixed_associations","coloured_shapes"
"74","p075",NA,"fixed_associations","emotions"
"75","p076",NA,"random_associations","coloured_shapes"
"76","p077",NA,"fixed_associations","objects"
"77","p078","I found the last round of pictures easier than the previous round of random shapes. I couldn't work out a way to communicate via the colours. ","fixed_associations","objects"
"78","p079",NA,"random_associations","objects"
"79","p080","I tried to remember which shapes corresponded with a colour....e.g.the cross with red and sometimes a shape sent to me in one colour corresponded with my selection in a different colour.........but this did not always work and it became a bit frustrating!","fixed_associations","coloured_shapes"
"80","p081","it was hard at first because I knew the colours I was trying to communicate but my partner was doing the same and then we swapped so I was doing theirs and them mine but eventually we got into a groove. I should have taken notes I didn't realise!","random_associations","coloured_shapes"
"81","p082",NA,"random_associations","objects"
"82","p083",NA,"random_associations","emotions"
"83","p084","in the first part started with just shapes and then the shapes were coloured so each colour represented 1 shape so was just trying to remember which colour represented which shape","fixed_associations","coloured_shapes"
"84","p085","I think we were both looking for associations to give each other clues e.g red with cross plus to represent more than one person.  There was a stage in the middle of the experiment when we were both alternating our selections on the grey and pink abstract shapes at the same time so there was a string of wrong judgements.","random_associations","emotions"
"85","p086","I really couldn't tell most of the time and mostly tried to guess but sometimes I felt like I knew the answer.","random_associations","coloured_shapes"
"86","p087","I figured out using the colours associated with each shape earlier in the experiment","fixed_associations","objects"
"87","p088",NA,"random_associations","objects"
"88","p089","I thought it was too easy at the start then when it changed to blobs I laughed but then I figured it out that I was meant to remember the colours from the first bit and I realised if I didn't think about it too hard I remembered them more easily. With the emotions I tried associating those first then the colours in the background but realised it was random (was it?) and made my own association (miserable girl = house (pentagon) because of House MD the loved up couple were a diamond like a ring the angry person was square I don't know why. Happy girl was a cross again no idea why). I only said the associations out loud to myself I didn't write anything down. I enjoyed doing this it was fun. I doubt there was really another person though.","fixed_associations","emotions"
"89","p090",NA,"random_associations","emotions"
"90","p091",NA,"fixed_associations","objects"
"91","p092","i realy enjoyed this. i sussed the second game was to do with colours from the previous sysmbols. the third round was really hard","fixed_associations","objects"
"92","p093",NA,"random_associations","emotions"
"93","p094","Initially I used trial and error with the colours then once I figured out which colour was associated with which shape I just remembered it. With the objects I linked the shapes to them to make the links easier to remember e.g. the cross section of a banana looks a bit like a star the circle is like a volcanic crater the tower blocks are square and the other shape looked like a pig's ear. ","random_associations","objects"
"94","p095","There were only 4 different shapes and the colours were pretty easy to remember. When the experiment changed from shapes to splodges and then to colour matching I was initially taken by surprise but soon realised what was going on. ","random_associations","coloured_shapes"
"95","p096",NA,"fixed_associations","coloured_shapes"
"96","p097","a frustrating process! I assigned colours to shapes but my partner kept changing them throughout the game. we seemed to get into a groove right at the end","random_associations","coloured_shapes"
"97","p098","I tried to relate the symbols as much to the picture as I could - for example there was a picture of a man looking cross so I kept using the cross symbol ","random_associations","emotions"
"98","p099",NA,"random_associations","objects"
"99","p100","For the third section (I was too confused at the start of the second section) I assumed the other person would be consistent so I was too: that the the reciever would make the changes and not the sender.","random_associations","objects"
"100","p101",NA,"fixed_associations","emotions"
"101","p102","For the splat phase i just referenced the colours from the group before. When it came to the people i correlated the image to how i felt to begin with. Square caused us the most trouble so i correlated that with the angry man.","fixed_associations","emotions"
"102","p103",NA,"random_associations","emotions"
"103","p104",NA,"fixed_associations","coloured_shapes"
"104","p105","interesting study it felt a bit long and it would be easy to zone out while you are waiting for a partner to join or for their response.","random_associations","emotions"
"105","p106","There wasn't another person on the other end was there.. ","random_associations","objects"
"106","p107",NA,"random_associations","coloured_shapes"
"107","p108","I matched colours to objects ie pink pig red volacano as its hot","random_associations","objects"
"108","p109","Trial and error - felt I was more in control of the communication","random_associations","coloured_shapes"
"109","p110","in the end i was just guessing i had no idea","fixed_associations","coloured_shapes"
"110","p111","To begin with it was mostly trial and error. to figure out the correct response then once it was figured out i just repeated the process until i had figured out which shape corresponded with which picture.","random_associations","emotions"
"111","p112",NA,"random_associations","coloured_shapes"
"112","p113",NA,"random_associations","emotions"
"113","p114","really interesting got a bit lost in the middle there! ","fixed_associations","emotions"
"114","p115","My partner and I seemed to work out between us which shape corresponded with which splodge or photo mainly through trial and error.  I enjoyed this - thanks.  Very interesting.","random_associations","emotions"
"115","p116",NA,"random_associations","emotions"
"116","p117","I used the colours of the objects to communicate which we seemed to work out quickly together.","fixed_associations","objects"
"117","p118","The colour ones once I'd realised what was happening were reasonably straightforward but the pictures/emotions took a bit longer to work out and I was trying to remember how to name them by saying 'sad square' 'smiling tablet' etc. It sort of worked I think!","fixed_associations","emotions"
"118","p119","Tried to memorise the colours of the shapes which I wasn't paying attention to until I needed to. At first I was just focused on the shapes. Then I tried to figure out the colours in the images only got pink star lady and grey angry pentagon man. And then see what my partner did for the other two images for red hexagon and yellow square. Then I was able to remember them all.","random_associations","emotions"
"119","p120","Great fun many thanks. I took no notes and was amazed how quickly reasonably effective communication could be achieved. Trial and error was the key to our relative success pure and simple.","random_associations","objects"
